,"score","names_wiki","dates_wiki","names_googleart","dates_googleart","is_same","artist_id_wiki","artist_id_googleart"
0,85,"[alexandre cabanel]","[1823, 1889]","[alexandre calame]","[1810, 1864]",0,"alexandre-cabanel","m0c4d6l"
12,85,"[robert bateman]","[1842, 1922]","[robert bevan]","[1865, 1925]",0,"robert-bateman","m04gmfqy"
13,85,"[spyros papaloukas, σπύρος παπαλουκάς]","[1892, 1957]","[spyrus papalucas]","[1892, 1957]",1,"spyros-papaloukas","g121zc56y"
15,86,"[william gilbert foster]","[1855, 1906]","[gilbert gaul, william gilbert gaul]","[1855, 1919]",0,"william-gilbert-foster","m09v3g3g"
9,87,"[nicolas tournier]","[1590, 1639]","[nicolas regnier, nicolas régnier]","[1591, 1667]",0,"nicolas-tournier","m02pvdlt"
11,90,"[richard deacon, richard deacon cbe]","[1949, 1949]","[richard demarco]","[1972.0, 1973.0]",0,"richard-deacon","m06vf96"
6,91,"[baron ladislaus josephus balthasar eustachius mednyánszky, laszlo mednyanszky]","[1852, 1919]","[ladislav mednyánszky, lászló mednyánszky]","[1852, 1919]",1,"laszlo-mednyanszky","m02w71hh"
3,92,"[ivan kramskoy, иван крамской]","[1837, 1887]","[ivan kramskoi]","[1837, 1887]",1,"ivan-kramskoy","m03pl4g"
2,93,"[edmund charles tarbell]","[1862, 1938]","[edmund c. tarbell]","[1862, 1938]",1,"edmund-charles-tarbell","m01kzc4"
4,93,"[jose maria velasco gomez]","[1860.0, 1909.0]","[josé maría velasco gómez]","[1840, 1912]",1,"jose-maria-velasco","m03cpt_z"
10,94,"[pericles pantazis, πανταζής περικλής]","[1849, 1884]","[pantazis  periklis, périclès pantazis]","[1849, 1884]",1,"pericles-pantazis","m02w5w76"
7,95,"[leon bakst, лейб-хаим (лев) розенберг]","[1866, 1924]","[lev bakst, léon bakst]","[1866, 1924]",1,"leon-bakst","m04flhj"
5,96,"[juli gonzález i pellicer, julio gonzalez]","[1876, 1942]","[julio gonzález]","[1876, 1942]",1,"julio-gonzalez","m08msp6"
1,97,"[bartolome bermejo, bartolomé de cárdenas]","[1440, 1501]","[bartolomé bermejo]","[1440, 1498]",1,"bartolome-bermejo","m0279_23"
8,98,"[morton livingston shamberg, morton shamberg]","[1881, 1918]","[morton livingston schamberg]","[1881, 1918]",1,"morton-shamberg","m0h645xk"
14,98,"[theo van rysselberghe, théophile van rysselberghe]","[1862, 1926]","[théo van rysselberghe]","[1862, 1926]",1,"theo-van-rysselberghe","m05kckz"
16,99,"[joseph mallord william turner, william turner]","[1775, 1851]","[william turner]","[1789, 1862]",0,"william-turner","m0285ph2"
18,95,"[maerten van heemskerck, marten jacobsz heemskerk van veen]","[1498, 1574]","[maarten van heemskerck]","[1498, 1574]",1,"maerten-van-heemskerck","m03hgn_"
19,100,"[andrew warhola, jr., andy warhol]","[1928, 1987]","[jr]","[2001.0, 2013.0]",0,"andy-warhol","m0dgq66j"
20,100,"[ben, benjamin vautier]","[1962.0, 1998.0]","[ricky maynard, ricky maynard  | ben lomond/cape portland peoples]","[1953, 1953]",0,"ben","m0t502qr"
21,100,"[ben, benjamin vautier]","[1962.0, 1998.0]","[howard ben tre, howard ben tré]","[1949, 1949]",0,"ben","m0420fk"
22,100,"[ben, benjamin vautier]","[1962.0, 1998.0]","[ben wilson, ben wilson, chewing gum man]","[1963, 1963]",0,"ben","m03cjks_"
23,100,"[cy twombly, edwin parker ""cy"" twombly, jr.]","[1928, 2011]","[jr]","[2001.0, 2013.0]",0,"cy-twombly","m0dgq66j"
24,100,"[cy twombly, edwin parker ""cy"" twombly, jr.]","[1928, 2011]","[jr, low bros]","[2005.0, 2015.0]",0,"cy-twombly","t219d95kf0c"
25,100,"[dan flavin, daniel nicholas flavin jr.]","[1933, 1996]","[jr]","[2001.0, 2013.0]",0,"dan-flavin","m0dgq66j"
26,100,"[dan flavin, daniel nicholas flavin jr.]","[1933, 1996]","[jr, low bros]","[2005.0, 2015.0]",0,"dan-flavin","t219d95kf0c"
27,100,"[gerard ter borch, gerard terborch]","[1617, 1681]","[gerard ter borch (ii), gesina ter borch, gesina ter borch]","[1633, 1690]",0,"gerard-terborch","m0hgrhp4"
28,100,"[horace vernet, émile jean-horace vernet]","[1789, 1863]","[hippolyte lecomte, horace vernet and hippolyte lecomte]","[1781, 1857]",0,"horace-vernet","m02rfhww"
29,100,"[jean francois millet, jean-francois millet, jean-françois millet]","[1814, 1875]","[karl bodmer, karl bodmer and jean-françois millet]","[1809, 1893]",0,"jean-francois-millet","m01b_mr"
30,100,"[nam june paik, 백남준]","[1932, 2006]","[june]","[2016.0, 2016.0]",0,"nam-june-paik","t219d95jw5z"
31,100,"[girolamo francesco maria mazzola, parmigianino]","[1503, 1540]","[antonio fantuzzi, antonio fantuzzi, parmigianino]","[1510, 1550]",0,"parmigianino","m0gtt12q"
32,100,"[raffaello sanzio da urbino, raphael]","[1483, 1520]","[giovanni jacopo caraglio, raphael sanzio, jacopo caraglio]","[1500, 1565]",0,"raphael","m072250"
33,100,"[raffaello sanzio da urbino, raphael]","[1483, 1520]","[giovanni antonio da brescia, giovanni antonio da brescia, raphael sanzio]","[1503, 1509]",0,"raphael","m03cv8s9"
